operatorname;theme;indicator;transportmode;transportsubmode;id_line;name_line;trimester;year;percent_result;occurrence_result;target_reference_contract;penality
SNCF;Propreté;Propreté des trains;Train;;C01731;J;T4;2023;89.3;;87.0;Non
SNCF;Propreté;Propreté des trains;Train;;C01740;R;T4;2023;91.2;;92.5;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01736;K;T3;2023;64.630225056451;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01739;P;T3;2023;89.6217901035861;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;RER;;C01727;C;T4;2023;78.3;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01730;H;T4;2023;83.3;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01731;J;T4;2023;89.0;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01739;P;T4;2023;71.3;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;Train;;C01740;R;T4;2023;78.9;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs en gare;Tramtrain;;C01999;T11;T4;2023;55.0;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01736;K;T1;2023;95.45040946863847;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01737;L;T1;2023;88.15212382923329;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01738;N;T1;2023;94.28873064442641;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Tramtrain;;C02344;T13;T1;2023;70.29702970297029;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;RER;;C01742;A;T2;2023;89.20134285469865;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;RER;;C01743;B;T2;2023;84.14095311333679;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01730;H;T2;2023;95.50496596269785;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01731;J;T2;2023;95.47178051523045;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01739;P;T2;2023;95.90939305613416;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;RER;;C01743;B;T3;2023;89.2325946932784;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01736;K;T3;2023;94.622458995148;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01739;P;T3;2023;95.6417180973796;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Train;;C01741;U;T3;2023;87.306701024494;;97.0;Non
SNCF;Contact voyageurs;Qualité du contact voyageurs à distance;Tramtrain;;C02344;T13;T4;2023;74.8;;97.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01729;E;T2;2023;93.79224985007798;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Tramtrain;;C01999;T11;T2;2023;67.56756770906873;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01729;E;T3;2023;89.3783946763915;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01736;K;T3;2023;80.5778102040587;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01738;N;T3;2023;84.3799769939428;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare à distance en 1 minute;Tramtrain;;C01843;T4;T3;2023;89.2086331297735;;93.0;Non
